405,70409,81,10867
406,70410,81,10981
407,70411,81,11065
408,70412,81,11055
409,70413,81,10911
410,70414,81,10652
411,70415,81,10342
412,70416,81,10050
413,70417,81,9814
414,70418,81,9637
415,70419,81,9518
416,70420,81,9477
417,70421,81,9546
418,70422,81,9736
419,70423,81,10010
420,70424,81,10287
421,70425,81,10488
422,70426,81,10575
423,70427,81,10568
424,70428,81,10517
425,70429,81,10464
426,70430,81,10433
427,70431,81,10433
428,70432,81,10473
429,70433,81,10560
430,70434,81,10672
431,70435,81,10757
432,70436,81,10748
433,70437,81,10608
434,70438,81,10354
435,70439,81,10051
436,70440,81,9767
437,70441,81,9541
438,70442,81,9376
439,70443,81,9271
440,70444,81,9245
441,70445,81,9330
442,70446,81,9539
443,70447,81,9832
444,70448,81,10131
445,70449,81,10353
446,70450,81,10463
447,70451,81,10480
448,70452,81,10453
449,70453,81,10426
450,70454,81,10420
451,70455,81,10445
452,70456,81,10511
453,70457,81,10623
454,70458,81,10761
455,70459,81,10870
456,70460,81,10886
457,70461,81,10769
458,70462,81,10537
459,70463,81,10255
460,70464,81,9992
461,70465,81,9784
462,70466,81,9636
463,70467,81,9546
464,70468,81,9533
465,70469,81,9631
466,70470,81,9849
467,70471,81,10151
468,70472,81,10455
469,70473,81,10681
470,70474,81,10793
471,70475,81,10810
472,70476,81,10781
473,70477,81,10750
474,70478,81,10738
475,70479,81,10756
476,70480,81,10814
477,70481,81,10915
478,70482,81,11041
479,70483,81,11137
480,70484,81,11138
481,70485,81,11006
482,70486,81,10758
483,70487,81,10459
484,70488,81,10178
485,70489,81,9952
486,70490,81,9786
487,70491,81,9678
488,70492,81,9647
489,70493,81,9726
490,70494,81,9927
491,70495,81,10212
492,70496,81,10499
493,70497,81,10709
494,70498,81,10807
495,70499,81,10809
496,70500,81,10768
497,70501,81,10724
498,70502,81,10702
499,70503,81,10710
500,70504,81,10758
501,70505,81,10852
502,70506,81,10972
503,70507,81,11063
504,70508,81,11060
505,70509,81,10925
506,70510,81,10676
507,70511,81,10376
508,70512,81,10095
509,70513,81,9870
510,70514,81,9706
511,70515,81,9601
512,70516,81,9574
513,70517,81,9657
514,70518,81,9862
515,70519,81,10151
516,70520,81,10444
517,70521,81,10660
518,70522,81,10762
519,70523,81,10771
520,70524,81,10735
521,70525,81,10697
522,70526,81,10679
523,70527,81,10692
524,70528,81,10746
525,70529,81,10844
526,70530,81,10967
527,70531,81,11062
528,70532,81,11062
529,70533,81,10930
530,70534,81,10683
531,70535,81,10385
532,70536,81,10105
533,70537,81,9882
534,70538,81,9718
535,70539,81,9613
536,70540,81,9585
537,70541,81,9668
538,70542,81,9872
539,70543,81,10161
540,70544,81,10452
541,70545,81,10666
542,70546,81,10767
543,70547,81,10774
544,70548,81,10736
545,70549,81,10696
546,70550,81,10677
547,70551,81,10688
548,70552,81,10740
549,70553,81,10837
550,70554,81,10959
551,70555,81,11052
552,70556,81,11051
553,70557,81,10917
554,70558,81,10668
555,70559,81,10369
556,70560,81,10088
557,70561,81,9863
558,70562,81,9698
559,70563,81,9591
560,70564,81,9562
561,70565,81,9643
562,70566,81,9845
563,70567,81,10131
564,70568,81,10420
565,70569,81,10631
566,70570,81,10728
567,70571,81,10731
568,70572,81,10688
569,70573,81,10643
570,70574,81,10618
571,70575,81,10623
572,70576,81,10668
573,70577,81,10757
574,70578,81,10871
575,70579,81,10955
576,70580,81,10945
577,70581,81,10801
578,70582,81,10542
579,70583,81,10232
580,70584,81,9940
581,70585,81,9704
582,70586,81,9527
583,70587,81,9408
584,70588,81,9367
585,70589,81,9436
586,70590,81,9627
587,70591,81,9901
588,70592,81,10178
589,70593,81,10379
590,70594,81,10466
591,70595,81,10459
592,70596,81,10408
593,70597,81,10356
594,70598,81,10325
595,70599,81,10325
596,70600,81,10365
597,70601,81,10452
598,70602,81,10564
599,70603,81,10650
600,70604,81,10641
601,70605,81,10501
602,70606,81,10248
603,70607,81,9945
604,70608,81,9662
605,70609,81,9435
606,70610,81,9271
607,70611,81,9166
608,70612,81,9140
609,70613,81,9226
610,70614,81,9435
611,70615,81,9729
612,70616,81,10028
613,70617,81,10250
614,70618,81,10361
615,70619,81,10378
616,70620,81,10352
617,70621,81,10325
618,70622,81,10319
619,70623,81,10345
620,70624,81,10412
621,70625,81,10524
622,70626,81,10662
623,70627,81,10772
624,70628,81,10788
625,70629,81,10672
626,70630,81,10441
627,70631,81,10159
628,70632,81,9896
629,70633,81,9689
630,70634,81,9541
631,70635,81,9452
632,70636,81,9440
633,70637,81,9538
634,70638,81,9757
635,70639,81,10059
636,70640,81,10364
637,70641,81,10591
638,70642,81,10703
639,70643,81,10721
640,70644,81,10693
641,70645,81,10662
642,70646,81,10651
643,70647,81,10670
644,70648,81,10728
645,70649,81,10830
646,70650,81,10957
647,70651,81,11054
648,70652,81,11055
649,70653,81,10924
650,70654,81,10677
651,70655,81,10379
652,70656,81,10098
653,70657,81,9873
654,70658,81,9708
655,70659,81,9600
656,70660,81,9570
657,70661,81,9650
658,70662,81,9852
659,70663,81,10137
660,70664,81,10425
661,70665,81,10637
662,70666,81,10734
663,70667,81,10738
664,70668,81,10697
665,70669,81,10655
666,70670,81,10633
667,70671,81,10642
668,70672,81,10691
669,70673,81,10786
670,70674,81,10906
671,70675,81,10999
672,70676,81,10997
673,70677,81,10862
674,70678,81,10614
675,70679,81,10315
676,70680,81,10035
677,70681,81,9811
678,70682,81,9648
679,70683,81,9544
680,70684,81,9517
681,70685,81,9601
682,70686,81,9808
683,70687,81,10098
684,70688,81,10392
685,70689,81,10608
686,70690,81,10712
687,70691,81,10721
688,70692,81,10686
689,70693,81,10649
690,70694,81,10632
691,70695,81,10646
692,70696,81,10701
693,70697,81,10800
694,70698,81,10924
695,70699,81,11020
696,70700,81,11021
697,70701,81,10890
698,70702,81,10644
699,70703,81,10347
700,70704,81,10068
701,70705,81,9846
702,70706,81,9683
703,70707,81,9579
704,70708,81,9552
705,70709,81,9636
706,70710,81,9842
707,70711,81,10131
708,70712,81,10423
709,70713,81,10638
710,70714,81,10740
711,70715,81,10748
712,70716,81,10711
713,70717,81,10672
714,70718,81,10654
715,70719,81,10667
716,70720,81,10719
717,70721,81,10817
718,70722,81,10940
719,70723,81,11035
720,70724,81,11034
721,70725,81,10902
722,70726,81,10654
723,70727,81,10356
724,70728,81,10076
725,70729,81,9852
726,70730,81,9688
727,70731,81,9582
728,70732,81,9554
729,70733,81,9636
730,70734,81,9839
731,70735,81,10126
732,70736,81,10416
733,70737,81,10628
734,70738,81,10726
735,70739,81,10730
736,70740,81,10688
737,70741,81,10645
738,70742,81,10621
739,70743,81,10627
740,70744,81,10673
741,70745,81,10763
742,70746,81,10877
743,70747,81,10963
744,70748,81,10954
745,70749,81,10811
746,70750,81,10553
747,70751,81,10244
748,70752,81,9953
749,70753,81,9718
750,70754,81,9542
751,70755,81,9424
752,70756,81,9384
753,70757,81,9454
754,70758,81,9646
755,70759,81,9921
756,70760,81,10199
757,70761,81,10401
758,70762,81,10489
759,70763,81,10484
760,70764,81,10433
761,70765,81,10382
762,70766,81,10352
763,70767,81,10353
764,70768,81,10394
765,70769,81,10482
766,70770,81,10595
767,70771,81,10682
768,70772,81,10674
769,70773,81,10535
770,70774,81,10282
771,70775,81,9981
772,70776,81,9698
773,70777,81,9473
774,70778,81,9309
775,70779,81,9206
776,70780,81,9181
777,70781,81,9268
778,70782,81,9477
779,70783,81,9772
780,70784,81,10072
781,70785,81,10295
782,70786,81,10407
783,70787,81,10425
784,70788,81,10400
785,70789,81,10373
786,70790,81,10369
787,70791,81,10395
788,70792,81,10463
789,70793,81,10576
790,70794,81,10715
791,70795,81,10826
792,70796,81,10843
793,70797,81,10727
794,70798,81,10497
795,70799,81,10217
796,70800,81,9954
797,70801,81,9748
798,70802,81,9601
799,70803,81,9513
800,70804,81,9501
801,70805,81,9600
802,70806,81,9820
803,70807,81,10123
804,70808,81,10428
805,70809,81,10656
806,70810,81,10769
807,70811,81,10788
808,70812,81,10760
809,70813,81,10731
810,70814,81,10720
811,70815,81,10740
812,70816,81,10798
813,70817,81,10901
814,70818,81,11028
815,70819,81,11126
816,70820,81,11129
817,70821,81,10997
818,70822,81,10751
819,70823,81,10454
820,70824,81,10174
821,70825,81,9949
822,70826,81,9785
823,70827,81,9678
824,70828,81,9649
825,70829,81,9729
826,70830,81,9931
827,70831,81,10217
828,70832,81,10506
829,70833,81,10718
830,70834,81,10816
831,70835,81,10821
832,70836,81,10780
833,70837,81,10738
834,70838,81,10717
835,70839,81,10726
836,70840,81,10776
837,70841,81,10872
838,70842,81,10992
839,70843,81,11085
840,70844,81,11083
841,70845,81,10950
842,70846,81,10702
843,70847,81,10403
844,70848,81,10124
845,70849,81,9900
846,70850,81,9737
847,70851,81,9634
848,70852,81,9608
849,70853,81,9692
850,70854,81,9899
851,70855,81,10189
852,70856,81,10483
853,70857,81,10700
854,70858,81,10804
855,70859,81,10814
856,70860,81,10779
857,70861,81,10742
858,70862,81,10726
859,70863,81,10740
860,70864,81,10795
861,70865,81,10894
862,70866,81,11019
863,70867,81,11115
864,70868,81,11117
865,70869,81,10985
866,70870,81,10739
867,70871,81,10443
868,70872,81,10164
869,70873,81,9942
870,70874,81,9779
871,70875,81,9675
872,70876,81,9649
873,70877,81,9733
874,70878,81,9939
875,70879,81,10228
876,70880,81,10520
877,70881,81,10736
878,70882,81,10838
879,70883,81,10846
880,70884,81,10809
881,70885,81,10770
882,70886,81,10752
883,70887,81,10765
884,70888,81,10817
885,70889,81,10915
886,70890,81,11038
887,70891,81,11132
888,70892,81,11132
889,70893,81,10999
890,70894,81,10752
891,70895,81,10454
892,70896,81,10174
893,70897,81,9950
894,70898,81,9785
895,70899,81,9680
896,70900,81,9652
897,70901,81,9733
898,70902,81,9936
899,70903,81,10223
900,70904,81,10513
901,70905,81,10725
902,70906,81,10823
903,70907,81,10826
904,70908,81,10784
905,70909,81,10740
906,70910,81,10716
907,70911,81,10722
908,70912,81,10768
909,70913,81,10858
910,70914,81,10972
911,70915,81,11058
912,70916,81,11048
