1,72289,81,8720
2,72290,81,8506
3,72291,81,8389
4,72292,81,8359
5,72293,81,8398
6,72294,81,8510
7,72295,81,8710
8,72296,81,8989
9,72297,81,9292
10,72298,81,9543
11,72299,81,9693
12,72300,81,9755
13,72301,81,9784
14,72302,81,9827
15,72303,81,9886
16,72304,81,9921
17,72305,81,9903
18,72306,81,9841
19,72307,81,9778
20,72308,81,9740
21,72309,81,9704
22,72310,81,9615
23,72311,81,9435
24,72312,81,9182
25,72313,81,8925
26,72314,81,8732
27,72315,81,8634
28,72316,81,8622
29,72317,81,8677
30,72318,81,8804
31,72319,81,9016
32,72320,81,9305
33,72321,81,9617
34,72322,81,9874
35,72323,81,10028
36,72324,81,10092
37,72325,81,10121
38,72326,81,10163
39,72327,81,10218
40,72328,81,10248
41,72329,81,10222
42,72330,81,10152
43,72331,81,10079
44,72332,81,10029
45,72333,81,9980
46,72334,81,9877
47,72335,81,9682
48,72336,81,9414
49,72337,81,9139
50,72338,81,8930
51,72339,81,8815
52,72340,81,8785
53,72341,81,8822
54,72342,81,8931
55,72343,81,9126
56,72344,81,9398
57,72345,81,9693
58,72346,81,9934
59,72347,81,10073
60,72348,81,10122
61,72349,81,10137
62,72350,81,10166
63,72351,81,10209
64,72352,81,10228
65,72353,81,10193
66,72354,81,10115
67,72355,81,10034
68,72356,81,9978
69,72357,81,9923
70,72358,81,9816
71,72359,81,9618
72,72360,81,9348
73,72361,81,9072
74,72362,81,8862
75,72363,81,8748
76,72364,81,8720
77,72365,81,8759
78,72366,81,8871
79,72367,81,9069
80,72368,81,9345
81,72369,81,9644
82,72370,81,9890
83,72371,81,10033
84,72372,81,10087
85,72373,81,10108
86,72374,81,10142
87,72375,81,10190
88,72376,81,10214
89,72377,81,10183
90,72378,81,10109
91,72379,81,10032
92,72380,81,9980
93,72381,81,9929
94,72382,81,9825
95,72383,81,9629
96,72384,81,9361
97,72385,81,9088
98,72386,81,8879
99,72387,81,8766
100,72388,81,8738
101,72389,81,8778
102,72390,81,8890
103,72391,81,9088
104,72392,81,9363
105,72393,81,9661
106,72394,81,9906
107,72395,81,10048
108,72396,81,10100
109,72397,81,10119
110,72398,81,10151
111,72399,81,10197
112,72400,81,10219
113,72401,81,10186
114,72402,81,10110
115,72403,81,10031
116,72404,81,9976
117,72405,81,9922
118,72406,81,9816
119,72407,81,9617
120,72408,81,9346
121,72409,81,9070
122,72410,81,8858
123,72411,81,8741
124,72412,81,8710
125,72413,81,8746
126,72414,81,8853
127,72415,81,9046
128,72416,81,9317
129,72417,81,9609
130,72418,81,9848
131,72419,81,9984
132,72420,81,10029
133,72421,81,10041
134,72422,81,10065
135,72423,81,10103
136,72424,81,10115
137,72425,81,10073
138,72426,81,9987
139,72427,81,9897
140,72428,81,9831
141,72429,81,9766
142,72430,81,9648
143,72431,81,9437
144,72432,81,9153
145,72433,81,8864
146,72434,81,8639
147,72435,81,8510
148,72436,81,8465
149,72437,81,8489
150,72438,81,8584
151,72439,81,8765
152,72440,81,9023
153,72441,81,9305
154,72442,81,9533
155,72443,81,9659
156,72444,81,9696
157,72445,81,9700
158,72446,81,9718
159,72447,81,9750
160,72448,81,9759
161,72449,81,9714
162,72450,81,9627
163,72451,81,9538
164,72452,81,9474
165,72453,81,9413
166,72454,81,9300
167,72455,81,9097
168,72456,81,8823
169,72457,81,8545
170,72458,81,8333
171,72459,81,8218
172,72460,81,8190
173,72461,81,8231
174,72462,81,8345
175,72463,81,8547
176,72464,81,8828
177,72465,81,9133
178,72466,81,9386
179,72467,81,9538
180,72468,81,9601
181,72469,81,9632
182,72470,81,9678
183,72471,81,9738
184,72472,81,9775
185,72473,81,9759
186,72474,81,9700
187,72475,81,9638
188,72476,81,9602
189,72477,81,9568
190,72478,81,9481
191,72479,81,9302
192,72480,81,9051
193,72481,81,8795
194,72482,81,8604
195,72483,81,8509
196,72484,81,8498
197,72485,81,8555
198,72486,81,8683
199,72487,81,8897
200,72488,81,9188
201,72489,81,9501
202,72490,81,9760
203,72491,81,9916
204,72492,81,9981
205,72493,81,10012
206,72494,81,10055
207,72495,81,10112
208,72496,81,10143
209,72497,81,10119
210,72498,81,10051
211,72499,81,9979
212,72500,81,9930
213,72501,81,9883
214,72502,81,9782
215,72503,81,9588
216,72504,81,9321
217,72505,81,9048
218,72506,81,8839
219,72507,81,8726
220,72508,81,8697
221,72509,81,8736
222,72510,81,8846
223,72511,81,9043
224,72512,81,9316
225,72513,81,9612
226,72514,81,9854
227,72515,81,9994
228,72516,81,10045
229,72517,81,10061
230,72518,81,10092
231,72519,81,10136
232,72520,81,10157
233,72521,81,10123
234,72522,81,10045
235,72523,81,9966
236,72524,81,9910
237,72525,81,9857
238,72526,81,9752
239,72527,81,9555
240,72528,81,9285
241,72529,81,9011
242,72530,81,8802
243,72531,81,8689
244,72532,81,8661
245,72533,81,8702
246,72534,81,8815
247,72535,81,9014
248,72536,81,9291
249,72537,81,9591
250,72538,81,9838
251,72539,81,9982
252,72540,81,10037
253,72541,81,10059
254,72542,81,10094
255,72543,81,10142
256,72544,81,10167
257,72545,81,10138
258,72546,81,10064
259,72547,81,9989
260,72548,81,9937
261,72549,81,9887
262,72550,81,9784
263,72551,81,9589
264,72552,81,9321
265,72553,81,9049
266,72554,81,8841
267,72555,81,8729
268,72556,81,8702
269,72557,81,8743
270,72558,81,8855
271,72559,81,9054
272,72560,81,9330
273,72561,81,9629
274,72562,81,9874
275,72563,81,10017
276,72564,81,10070
277,72565,81,10089
278,72566,81,10122
279,72567,81,10169
280,72568,81,10191
281,72569,81,10159
282,72570,81,10083
283,72571,81,10005
284,72572,81,9950
285,72573,81,9897
286,72574,81,9791
287,72575,81,9593
288,72576,81,9323
289,72577,81,9047
290,72578,81,8836
291,72579,81,8719
292,72580,81,8688
293,72581,81,8725
294,72582,81,8833
295,72583,81,9027
296,72584,81,9297
297,72585,81,9590
298,72586,81,9829
299,72587,81,9966
