1,50,1
2,50,2
3,50,3
4,50,4
5,50,5
6,50,6
7,50,7
8,50,8
9,20,1
10,20,2
11,20,3
12,20,4
13,20,5
14,20,6
15,20,7
16,20,8
17,30,1
18,30,2
19,30,3
20,30,4
21,30,5
22,30,6
23,30,7
24,30,8
25,40,1
26,40,2
27,40,3
28,40,4
29,40,5
30,40,6
31,40,7
32,40,8
33,50,1
34,50,2
35,50,3
36,50,4
37,50,5
38,50,6
39,50,7
40,50,8
41,12,1
42,12,2
43,12,3
44,12,4
45,12,5
46,12,6
47,12,7
48,12,8
49,14,1
50,14,2
51,14,3
52,14,4
53,14,5
54,14,6
55,14,7
56,14,8
57,16,1
58,16,2
59,16,3
60,16,4
61,16,5
62,16,6
63,16,7
64,16,8
65,18,1
66,18,2
67,18,3
68,18,4
69,18,5
70,18,6
71,18,7
72,18,8
73,20,1
74,20,2
75,20,3
76,20,4
77,20,5
78,20,6
79,20,7
80,20,8
81,0,1
82,0,2
83,0,3
84,0,4
85,0,5
86,0,6
87,0,7
88,0,8
